"Unemployed by Sex by Duration of Unemployment (Qrtly-Mar/Jun/Sep/Dec)","","",""
"2012Q4",73.7,72.6,146.3
"2013Q1",66.2,77.5,143.7
"2013Q2",65.3,71.7,137.0
"2013Q3",67.0,68.9,136.0
"2013Q4",63.9,71.2,135.1
"2014Q1",67.5,75.6,143.1
"2014Q2",56.8,67.1,123.9
"2014Q3",57.7,69.0,126.8
"2014Q4",63.9,72.5,136.4
"2015Q1",70.1,75.0,145.1
"2015Q2",61.3,73.5,134.8
"2015Q3",68.1,69.2,137.3
"2015Q4",62.8,61.8,124.6
"2016Q1",69.6,72.7,142.4
"2016Q2",62.6,66.1,128.7
"2016Q3",65.2,62.4,127.6
"2016Q4",68.9,71.3,140.2
"2017Q1",63.7,77.2,140.9
"2017Q2",65.6,60.3,125.9
"2017Q3",58.6,66.4,125.0
"2017Q4",58.7,64.0,122.7
"2018Q1",60.0,68.6,128.7
"2018Q2",61.6,61.0,122.5
"2018Q3",57.3,50.2,107.6
"2018Q4",66.9,54.7,121.6
"2019Q1",58.8,65.7,124.6
"2019Q2",53.1,55.9,109.0
"2019Q3",55.4,57.1,112.5
"2019Q4",59.0,56.8,115.7
"2020Q1",63.7,65.0,128.7
"2020Q2",53.0,58.7,111.7
"2020Q3",71.0,73.7,144.6
"2020Q4",70.0,71.0,141.0
"2021Q1",73.1,68.6,141.7
"2021Q2",55.6,55.3,110.9
"2021Q3",49.0,44.5,93.5
"2021Q4",47.6,44.9,92.4
"2022Q1",50.2,50.1,100.3
"2022Q2",45.2,48.0,93.1
"2022Q3",42.6,51.4,94.0
"2022Q4",51.8,47.4,99.3
"2023Q1",53.6,56.3,109.9
"2023Q2",51.5,54.8,106.3
"Table information:"
"Units:"
"Number, Magnitude = Thousands"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"HLF254AA"
""
"Last updated:"
"02 August 2023 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
